,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
449,Apartamento,Barra da Tijuca,3,2,3,89,4500.0,1200.0,211.0,50.56,Apartamento
450,Apartamento,Ipanema,2,2,1,130,8000.0,2000.0,660.0,61.54,Apartamento
451,Apartamento,Barra da Tijuca,2,1,1,69,2500.0,940.0,800.0,36.23,Apartamento
452,Apartamento,Ipanema,4,2,1,200,9500.0,3600.0,1500.0,47.5,Apartamento
453,Apartamento,Recreio dos Bandeirantes,1,1,1,45,1500.0,1200.0,440.0,33.33,Apartamento
454,Apartamento,Botafogo,1,1,0,65,2200.0,679.0,27.0,33.85,Apartamento
455,Apartamento,Méier,3,0,0,60,1300.0,450.0,0.0,21.67,Apartamento
456,Apartamento,Barra da Tijuca,2,2,1,75,1400.0,800.0,100.0,18.67,Apartamento
457,Apartamento,Leblon,3,1,2,155,7200.0,1515.0,538.0,46.45,Apartamento
458,Apartamento,Tijuca,2,1,1,70,1600.0,740.0,0.0,22.86,Apartamento
459,Apartamento,Leblon,2,2,1,65,5000.0,1950.0,300.0,76.92,Apartamento
460,Apartamento,Tijuca,3,2,1,150,2000.0,1700.0,210.0,13.33,Apartamento
461,Apartamento,Lagoa,3,2,3,125,4800.0,1600.0,460.0,38.4,Apartamento
462,Apartamento,Leblon,2,0,1,71,6700.0,2070.0,0.0,94.37,Apartamento
463,Apartamento,Anil,2,1,0,46,1100.0,430.0,12.0,23.91,Apartamento
464,Apartamento,Freguesia (Jacarepaguá),2,1,1,70,1300.0,720.0,85.0,18.57,Apartamento
465,Apartamento,Copacabana,1,0,1,39,1800.0,600.0,0.0,46.15,Apartamento
466,Apartamento,Santa Teresa,1,0,0,21,800.0,312.0,15.0,38.1,Apartamento
467,Apartamento,Vila Isabel,3,1,0,95,1250.0,650.0,60.0,13.16,Apartamento
468,Apartamento,Copacabana,1,0,0,36,2200.0,590.0,0.0,61.11,Apartamento
469,Apartamento,Barra da Tijuca,2,1,1,67,2000.0,1300.0,119.0,29.85,Apartamento
470,Apartamento,Copacabana,3,2,1,190,7000.0,2000.0,639.0,36.84,Apartamento
471,Apartamento,Andaraí,3,0,0,64,1300.0,310.0,20.0,20.31,Apartamento
472,Apartamento,Ipanema,3,0,0,90,3500.0,998.0,95.0,38.89,Apartamento
473,Apartamento,Copacabana,3,1,0,90,3800.0,900.0,230.0,42.22,Apartamento
474,Apartamento,Recreio dos Bandeirantes,3,1,1,82,2000.0,989.0,1313.0,24.39,Apartamento
475,Apartamento,Curicica,2,1,1,58,1350.0,590.0,560.0,23.28,Apartamento
476,Apartamento,São Conrado,4,3,1,260,8500.0,3650.0,1170.0,32.69,Apartamento
477,Apartamento,Camorim,2,1,1,51,1200.0,550.0,650.0,23.53,Apartamento
478,Apartamento,Lagoa,3,2,1,162,5500.0,1500.0,627.0,33.95,Apartamento
479,Apartamento,Tijuca,2,1,1,85,1600.0,960.0,90.0,18.82,Apartamento
480,Apartamento,Ipanema,1,0,0,50,2100.0,630.0,0.0,42.0,Apartamento
481,Apartamento,Cachambi,2,1,0,55,1200.0,364.0,0.0,21.82,Apartamento
482,Apartamento,Méier,2,1,0,77,1000.0,925.0,0.0,12.99,Apartamento
483,Apartamento,Barra da Tijuca,1,1,1,69,1900.0,1007.0,159.0,27.54,Apartamento
484,Apartamento,Maracanã,2,1,1,85,2500.0,492.0,0.0,29.41,Apartamento
485,Apartamento,Tijuca,3,1,1,80,3000.0,967.0,184.0,37.5,Apartamento
486,Apartamento,Barra da Tijuca,2,1,1,70,1150.0,1260.0,160.0,16.43,Apartamento
487,Apartamento,Leblon,2,1,1,90,3500.0,1150.0,3300.0,38.89,Apartamento
488,Apartamento,Laranjeiras,2,1,0,63,2500.0,968.0,93.0,39.68,Apartamento
489,Apartamento,Laranjeiras,2,1,0,79,2300.0,780.0,118.0,29.11,Apartamento
490,Apartamento,Jardim Botânico,2,2,1,83,3500.0,1790.0,196.0,42.17,Apartamento
491,Apartamento,Vila Isabel,2,0,0,80,1700.0,450.0,60.0,21.25,Apartamento
492,Apartamento,Laranjeiras,4,2,1,270,5500.0,2750.0,420.0,20.37,Apartamento
493,Apartamento,São Conrado,3,2,1,157,6400.0,1792.0,460.0,40.76,Apartamento
494,Apartamento,Ipanema,3,1,2,108,5800.0,1735.0,368.0,53.7,Apartamento
495,Apartamento,Ipanema,3,2,1,166,7000.0,3400.0,0.0,42.17,Apartamento
496,Apartamento,Botafogo,1,0,0,53,1600.0,770.0,70.0,30.19,Apartamento
497,Apartamento,Lagoa,3,1,1,120,5500.0,1080.0,555.0,45.83,Apartamento
498,Apartamento,Barra da Tijuca,3,2,2,168,3500.0,2138.0,401.0,20.83,Apartamento
499,Apartamento,Tijuca,2,0,1,48,1700.0,700.0,0.0,35.42,Apartamento
500,Apartamento,Barra da Tijuca,2,1,1,60,2800.0,900.0,149.0,46.67,Apartamento
501,Apartamento,Laranjeiras,4,0,2,217,9000.0,1200.0,0.0,41.47,Apartamento
502,Apartamento,Ipanema,2,0,0,73,3000.0,700.0,190.0,41.1,Apartamento
503,Apartamento,Leblon,2,1,0,73,3800.0,1100.0,210.0,52.05,Apartamento
504,Apartamento,Copacabana,1,0,1,50,2500.0,516.0,25.0,50.0,Apartamento
505,Apartamento,Vila Isabel,2,2,1,91,2000.0,600.0,145.0,21.98,Apartamento
506,Apartamento,Campo Grande,2,1,0,50,1000.0,310.0,0.0,20.0,Apartamento
507,Apartamento,Barra da Tijuca,2,1,1,90,3000.0,1846.0,438.0,33.33,Apartamento
508,Apartamento,Centro,1,0,0,35,1000.0,300.0,0.0,28.57,Apartamento
509,Apartamento,Copacabana,2,0,0,79,3500.0,960.0,171.0,44.3,Apartamento
510,Apartamento,Copacabana,4,1,1,280,8500.0,1748.0,664.0,30.36,Apartamento
511,Apartamento,Camorim,3,1,1,75,2100.0,680.0,0.0,28.0,Apartamento
512,Apartamento,Flamengo,3,2,1,286,6500.0,2500.0,0.0,22.73,Apartamento
513,Apartamento,Recreio dos Bandeirantes,2,1,1,70,2200.0,750.0,0.0,31.43,Apartamento
514,Apartamento,Ipanema,3,1,1,160,4000.0,1250.0,2.0,25.0,Apartamento
515,Apartamento,Vila Isabel,3,1,2,79,2200.0,622.0,122.0,27.85,Apartamento
516,Apartamento,Tijuca,3,2,1,109,2500.0,742.0,105.0,22.94,Apartamento
517,Apartamento,Jardim Botânico,3,2,2,141,5000.0,1963.0,514.0,35.46,Apartamento
518,Apartamento,Campo Grande,1,1,0,46,650.0,250.0,0.0,14.13,Apartamento
519,Apartamento,Copacabana,1,0,0,30,1300.0,400.0,25.0,43.33,Apartamento
520,Apartamento,Jacarepaguá,3,1,1,78,2000.0,1200.0,110.0,25.64,Apartamento
521,Apartamento,Catete,1,0,0,37,1300.0,360.0,24.0,35.14,Apartamento
522,Apartamento,Recreio dos Bandeirantes,2,2,1,110,2300.0,648.0,156.0,20.91,Apartamento
523,Apartamento,Botafogo,3,1,1,105,5800.0,1350.0,281.0,55.24,Apartamento
524,Apartamento,Copacabana,3,0,1,160,5000.0,800.0,190.0,31.25,Apartamento
525,Apartamento,Freguesia (Jacarepaguá),3,1,1,81,1800.0,750.0,110.0,22.22,Apartamento
526,Apartamento,Copacabana,4,1,3,217,9000.0,2754.0,650.0,41.47,Apartamento
527,Apartamento,Laranjeiras,3,2,1,130,3200.0,1050.0,220.0,24.62,Apartamento
528,Apartamento,Barra da Tijuca,4,3,2,270,7000.0,2600.0,650.0,25.93,Apartamento
529,Apartamento,Copacabana,1,0,0,45,1600.0,420.0,72.0,35.56,Apartamento
530,Apartamento,Barra da Tijuca,2,1,1,90,2200.0,1392.0,289.0,24.44,Apartamento
531,Apartamento,Lagoa,2,2,2,100,3500.0,1020.0,380.0,35.0,Apartamento
532,Apartamento,Barra da Tijuca,3,2,3,102,2700.0,1523.0,2944.0,26.47,Apartamento
533,Apartamento,Copacabana,1,0,0,40,2000.0,617.0,24.0,50.0,Apartamento
534,Apartamento,Barra da Tijuca,3,2,1,126,5000.0,1200.0,0.0,39.68,Apartamento
535,Apartamento,Leblon,2,1,0,80,5000.0,1700.0,180.0,62.5,Apartamento
536,Apartamento,Recreio dos Bandeirantes,2,2,1,84,1600.0,510.0,185.0,19.05,Apartamento
537,Apartamento,Laranjeiras,3,2,1,147,4900.0,1320.0,226.0,33.33,Apartamento
538,Apartamento,Ipanema,3,1,1,150,6000.0,2200.0,500.0,40.0,Apartamento
539,Apartamento,Jacarepaguá,2,1,1,80,1900.0,1300.0,100.0,23.75,Apartamento
540,Apartamento,Ipanema,3,2,1,190,4500.0,2600.0,514.0,23.68,Apartamento
541,Apartamento,Leblon,2,1,0,82,3800.0,1060.0,0.0,46.34,Apartamento
542,Apartamento,Barra da Tijuca,2,2,1,180,5000.0,1400.0,500.0,27.78,Apartamento
543,Apartamento,Bonsucesso,2,0,0,61,1100.0,284.0,0.0,18.03,Apartamento
544,Apartamento,Barra da Tijuca,3,2,1,120,4100.0,1750.0,414.0,34.17,Apartamento
545,Apartamento,São Conrado,3,2,1,250,5500.0,750.0,500.0,22.0,Apartamento
546,Apartamento,Ipanema,2,1,0,124,4500.0,1177.0,297.0,36.29,Apartamento
547,Apartamento,Barra da Tijuca,4,2,1,115,2800.0,1800.0,250.0,24.35,Apartamento
548,Apartamento,Botafogo,1,0,0,40,1800.0,350.0,0.0,45.0,Apartamento
549,Apartamento,Laranjeiras,2,0,0,70,2200.0,500.0,74.0,31.43,Apartamento
